epoch,balance_loss,edge_loss,fw_loss,loss,lr,p_loss,val_balance_loss,val_edge_loss,val_fw_loss,val_loss,val_p_loss,val_weymouth_loss,weymouth_loss
0,2702.728515625,777.35791015625,2882.24169921875,2882.24169921875,0.009989469,316632.34375,inf,inf,inf,inf,inf,nan,27491225829376.0
1,1247.0970458984375,786.7443237304688,1221.0799560546875,1221.0799560546875,0.009977899,311019.90625,inf,inf,inf,inf,inf,nan,89285977964544.0
2,461.1090087890625,774.9578247070312,450.9668273925781,450.9668273925781,0.009966341,310513.8125,3.9325625753728184e+33,4.9489256038838434e+29,3.892087506818363e+33,3.892087506818363e+33,9.69512858291984e+31,nan,2333022617600.0
3,137.42108154296875,754.6953735351562,208.3893280029297,208.3893280029297,0.009954797,308075.28125,5.586354790375572e+25,7.88035323168865e+23,5.146596402041984e+25,5.146596402041984e+25,7.5859408039601235e+25,inf,16032839680.0
4,107.45948791503906,757.5545654296875,174.0079345703125,174.0079345703125,0.009943267,306730.15625,3.312945346604423e+20,1.3380294768378197e+20,3.935356185168419e+20,3.935356185168419e+20,6.699383809627998e+20,inf,4102270464.0
