epoch,balance_loss,edge_loss,fw_loss,loss,lr,p_loss,val_balance_loss,val_edge_loss,val_fw_loss,val_loss,val_p_loss,val_weymouth_loss,weymouth_loss
16,9.786291122436523,14.5204439163208,3.2711844444274902,27.57792091369629,0.009823516,377095.875,785.2803955078125,120.9865951538086,511.18121337890625,1417.4482421875,380950.5,13602164736.0,13715030016.0
17,8.486335754394531,14.386909484863281,3.0716440677642822,25.94488525390625,0.009813172,377132.84375,263.7694396972656,70.64083099365234,70.18801879882812,404.5982971191406,383168.65625,4024946176.0,13527265280.0
18,5.841882705688477,12.809226989746094,2.9052960872650146,21.556406021118164,0.009802838,377154.84375,190.9033203125,53.046363830566406,55.451568603515625,299.4012451171875,383610.1875,3483025920.0,13461202944.0
19,4.844712257385254,11.91512680053711,2.8099265098571777,19.569766998291016,0.009792515,377096.84375,162.3411407470703,51.487525939941406,33.764312744140625,247.5929718017578,384384.4375,2988339200.0,13806559232.0
20,4.801650047302246,11.761154174804688,2.6727375984191895,19.23554229736328,0.0097822035,377130.40625,135.6491241455078,45.67520523071289,27.911121368408203,209.23544311523438,384622.65625,3049685504.0,13608776704.0
21,5.084412574768066,12.151385307312012,2.589921474456787,19.825719833374023,0.009771902,377193.53125,114.2338638305664,41.405372619628906,25.28707504272461,180.92630004882812,384699.34375,3176136192.0,13203613696.0
22,6.0935845375061035,12.449064254760742,2.5144200325012207,21.057069778442383,0.009761612,377223.03125,122.6843490600586,40.942848205566406,18.44265365600586,182.06985473632812,383906.34375,4508539904.0,13032764416.0
23,5.064596652984619,12.314693450927734,2.541536331176758,19.920825958251953,0.009751332,377175.8125,113.60951232910156,39.358245849609375,17.28188705444336,170.24964904785156,383986.0,4286066176.0,13322916864.0
24,4.510923862457275,12.190845489501953,2.53255033493042,19.23431968688965,0.009741063,377193.25,96.58003234863281,46.3015022277832,17.717466354370117,160.5989990234375,384280.6875,3980088064.0,13356174336.0
25,4.247152328491211,12.484445571899414,2.4717040061950684,19.20330238342285,0.009730806,377140.1875,90.71827697753906,37.52285385131836,15.031064987182617,143.27220153808594,384075.9375,4530910208.0,13393167360.0
26,3.9262096881866455,11.802559852600098,2.486201047897339,18.214969635009766,0.009720558,377210.1875,115.75254821777344,46.998939514160156,16.167150497436523,178.91864013671875,384165.3125,4274496768.0,12968676352.0
27,3.7113986015319824,11.144533157348633,2.3859050273895264,17.241836547851562,0.009710322,377178.8125,115.55062103271484,47.72759246826172,14.56390380859375,177.84210205078125,383983.0,4567661056.0,13259128832.0
28,3.381009340286255,10.963811874389648,2.3772614002227783,16.72208023071289,0.009700096,377221.40625,112.65775299072266,46.76685333251953,12.90570068359375,172.33029174804688,383784.15625,4969264128.0,13108377600.0
29,4.662158012390137,11.427597045898438,2.3398659229278564,18.42961883544922,0.009689882,377137.875,115.6236572265625,54.58414840698242,15.2108793258667,185.41868591308594,384161.9375,4404313600.0,13406693376.0
30,5.5260772705078125,11.947549819946289,2.3531792163848877,19.826805114746094,0.009679679,377198.75,137.99278259277344,65.73747253417969,12.10499382019043,215.8352508544922,383833.9375,5149877760.0,12988659712.0
31,7.316056251525879,12.707252502441406,2.399587869644165,22.422893524169922,0.009669485,377181.5625,136.7246551513672,59.727142333984375,6.956058502197266,203.40786743164062,382951.84375,7207799296.0,13296798720.0
32,6.216617107391357,13.185541152954102,2.5403988361358643,21.942554473876953,0.009659302,377199.75,118.55934143066406,58.851844787597656,9.244047164916992,186.6552276611328,383465.15625,6011573760.0,13096433664.0
33,5.844508171081543,12.59458065032959,2.4103827476501465,20.849470138549805,0.009649131,377082.59375,68.94813537597656,38.12860107421875,6.934435844421387,114.01116943359375,383153.25,7054409728.0,13522330624.0
34,5.946413993835449,12.970085144042969,2.7466485500335693,21.663145065307617,0.00963897,377247.21875,88.62397003173828,46.16956329345703,7.602004051208496,142.39553833007812,383187.71875,6744679424.0,13013698560.0
35,4.337725639343262,11.58836841583252,2.57544207572937,18.501535415649414,0.009628819,377193.0,42.292686462402344,26.982227325439453,4.676568031311035,73.95147705078125,382595.4375,8674793472.0,13027081216.0
36,3.296286106109619,11.086204528808594,2.354522705078125,16.737014770507812,0.00961868,377085.8125,36.49415588378906,24.565385818481445,5.327512741088867,66.38705444335938,382798.59375,8127489024.0,13441029120.0
37,3.104522705078125,11.205558776855469,2.4015846252441406,16.711666107177734,0.009608551,377080.0625,46.594757080078125,34.367759704589844,5.385510444641113,86.34803009033203,382837.0625,8189984768.0,13567711232.0
38,4.1437788009643555,11.466794967651367,2.4025661945343018,18.013139724731445,0.009598432,377099.0625,42.058250427246094,25.572568893432617,5.02313232421875,72.65394592285156,382712.6875,8428406272.0,13482059776.0
39,4.285313606262207,11.578877449035645,2.4901137351989746,18.354305267333984,0.009588324,377205.6875,34.7119255065918,24.85209083557129,3.01265287399292,62.57666778564453,381964.125,10961690624.0,13008154624.0
40,3.552140712738037,11.414678573608398,2.4185144901275635,17.385332107543945,0.009578228,376964.8125,44.22288513183594,27.475582122802734,5.681522846221924,77.37998962402344,382917.59375,7986648064.0,14128578560.0
41,4.806524276733398,11.820173263549805,2.231881856918335,18.858579635620117,0.009568142,377102.9375,51.23557662963867,32.63138961791992,3.6107678413391113,87.47773742675781,382372.5625,9928443904.0,13320307712.0
42,4.311512470245361,11.581887245178223,2.5775270462036133,18.47092628479004,0.009558066,376975.0,44.91940689086914,36.18140411376953,4.726301670074463,85.82710266113281,382738.65625,8754573312.0,14126959616.0
43,3.7912445068359375,11.646886825561523,2.6650948524475098,18.103227615356445,0.009548001,377108.15625,33.85725784301758,24.673311233520508,4.153192520141602,62.68376541137695,382404.09375,9288609792.0,13509102592.0
44,3.67069673538208,11.801961898803711,2.3550400733947754,17.827701568603516,0.009537946,376958.0625,39.70215606689453,32.447086334228516,5.692915916442871,77.84214782714844,382884.4375,8118818304.0,14203227136.0
45,3.348351240158081,11.588969230651855,2.352506160736084,17.289827346801758,0.009527902,377032.4375,41.753814697265625,29.893463134765625,3.767468214035034,75.41474914550781,382390.1875,9844445184.0,13849886720.0
46,3.594818115234375,11.289688110351562,2.1789445877075195,17.06344985961914,0.009517869,376957.4375,29.631793975830078,25.022441864013672,4.034961700439453,58.6891975402832,382527.15625,9449082880.0,14029288448.0
47,3.4279303550720215,11.099390029907227,2.195340394973755,16.722660064697266,0.009507846,376990.4375,46.80891799926758,32.28040313720703,4.07954740524292,83.16886901855469,382442.0,9514629120.0,13992443904.0
48,3.9433395862579346,11.210214614868164,2.251919746398926,17.405473709106445,0.009497833,376997.625,34.74494171142578,28.8068904876709,3.761737823486328,67.31356811523438,382416.84375,9594063872.0,13833800704.0
49,3.2219974994659424,10.878334999084473,2.2508387565612793,16.351171493530273,0.009487832,376960.5,14.88507080078125,15.557891845703125,3.6751880645751953,34.1181526184082,382400.59375,9755430912.0,13983719424.0
50,3.5028884410858154,11.00458812713623,2.196532964706421,16.704008102416992,0.009477841,376968.65625,32.51457977294922,25.405147552490234,3.3784573078155518,61.298179626464844,382283.90625,10153106432.0,14026807296.0
51,3.7495548725128174,11.091043472290039,2.1711299419403076,17.011728286743164,0.009467861,376954.34375,37.22685623168945,27.65386962890625,3.04571533203125,67.92643737792969,382147.3125,10604647424.0,14068167680.0
52,3.1788649559020996,10.78923225402832,2.1972930431365967,16.16539192199707,0.00945789,376979.46875,23.75263786315918,21.533294677734375,2.6085219383239746,47.89445877075195,381981.625,11439673344.0,13915813888.0
53,3.3993613719940186,11.374458312988281,2.2098002433776855,16.983619689941406,0.00944793,376976.5625,17.800466537475586,17.77756690979004,3.1508238315582275,38.728858947753906,382140.09375,10356868096.0,13925466112.0
54,3.4844489097595215,11.221888542175293,2.4381136894226074,17.144451141357422,0.009437982,376895.0625,23.679119110107422,21.14335823059082,2.5811517238616943,47.403629302978516,381925.53125,11584407552.0,14256711680.0
55,3.696398973464966,11.1888427734375,2.345308303833008,17.230548858642578,0.009428043,376994.0,22.533910751342773,20.518741607666016,3.727125644683838,46.77977752685547,382425.6875,9722607616.0,13950871552.0
56,3.117187738418579,10.967490196228027,2.2443666458129883,16.329044342041016,0.009418115,376911.15625,24.915569305419922,21.87849235534668,2.4327263832092285,49.22678756713867,381857.9375,11900531712.0,14185003008.0
57,2.9324557781219482,11.13135814666748,2.205132484436035,16.26894760131836,0.009408196,376928.4375,25.940088272094727,22.74310874938965,2.994288206100464,51.67748260498047,382102.5625,10781217792.0,14157518848.0
