epoch,balance_loss,edge_loss,fw_loss,loss,lr,p_loss,val_balance_loss,val_edge_loss,val_fw_loss,val_loss,val_p_loss,val_weymouth_loss,weymouth_loss
0,129.16038513183594,686.3253784179688,187.52090454101562,873.8463134765625,0.009989469,311526.28125,8.696244073949277e+30,4.246062403662587e+30,5.360962185378493e+28,4.299671916901943e+30,3.977861322776183e+28,inf,167352416.0
1,371.39959716796875,507.7975769042969,177.19163513183594,684.9892578125,0.009977899,308752.1875,5.481846267080287e+28,2.577680841196954e+28,7.107610919404452e+26,2.648756943012301e+28,9.050844066751948e+26,inf,31920979968.0
2,245.91432189941406,317.34808349609375,163.33737182617188,480.6854248046875,0.009966341,308309.0,1.5531123186552306e+25,1.3570063370903922e+24,7.869041486461388e+24,9.226047391206216e+24,9.665564127192438e+24,inf,672352064.0
3,246.18560791015625,248.48036193847656,163.56295776367188,412.0432434082031,0.009954797,306587.125,3.9681455570491644e+20,9.0308880128591e+19,3.863921794321115e+19,1.2894809367375564e+20,4.484199844210016e+19,inf,31313310.0
4,285.7914733886719,233.48912048339844,160.209228515625,393.6983642578125,0.009943267,307048.0625,1.2012814619702723e+18,5.728229150037115e+17,3.307626040603443e+16,6.058991453449748e+17,4.030116849201971e+16,inf,361495360.0
5,275.6818542480469,231.18740844726562,161.443359375,392.6307678222656,0.00993175,307017.9375,2.2701292308660224e+16,1.7654227920748544e+16,31307243454464.0,1.7685536084852736e+16,40271869902848.0,1.1300443770254303e+31,3593926400.0
6,260.8475646972656,230.62432861328125,161.67514038085938,392.2994079589844,0.009920246,306458.0625,145516729991168.0,121607821459456.0,438170615808.0,122045992009728.0,573208461312.0,2.878509930343942e+27,2130751360.0
7,259.9226379394531,228.97616577148438,161.1431884765625,390.119384765625,0.009908755,306675.15625,4850701565952.0,4363023286272.0,28278614016.0,4391302070272.0,37992341504.0,4.249887144605961e+24,881689536.0
8,265.24395751953125,229.16238403320312,160.39051818847656,389.5528869628906,0.009897278,306562.0625,1563276214272.0,991159582720.0,5754819072.0,996914429952.0,7717870080.0,2.241350381685838e+23,354621504.0
9,266.5344543457031,227.35635375976562,160.23915100097656,387.59552001953125,0.009885814,306743.71875,46991880192.0,34025801728.0,106744680.0,34132545536.0,143367376.0,8.248905104532531e+21,476770624.0
10,268.3724365234375,226.03936767578125,160.37222290039062,386.41156005859375,0.009874363,306738.28125,2515495424.0,1759247360.0,106075.1484375,1759353472.0,426208.53125,2.72982520696406e+17,1727406976.0
11,265.39385986328125,224.18699645996094,160.7815704345703,384.968505859375,0.009862926,306267.53125,498476960.0,497679424.0,38450.44921875,497717920.0,348430.96875,8.492796175659827e+16,3978446336.0
12,269.314697265625,229.25758361816406,163.2491912841797,392.5067443847656,0.009851501,307455.375,104064680.0,78392488.0,5001.28466796875,78397496.0,313543.9375,4030064987471872.0,2241907.75
13,259.284912109375,233.32835388183594,163.61866760253906,396.9469909667969,0.009840091,306402.5,175844.265625,240030.78125,1733.2279052734375,241764.03125,315769.09375,8011490263040.0,426233.78125
14,262.8433837890625,229.35256958007812,162.74012756347656,392.0927429199219,0.009828693,306539.625,7683360.5,3481607.25,8654.2177734375,3490261.5,328900.3125,30332950675456.0,17072526.0
15,261.8637390136719,226.3993682861328,161.56680297851562,387.9661865234375,0.009817308,306645.90625,2912122.75,2250638.75,302.32159423828125,2250941.5,310489.96875,2811502526464.0,511575232.0
16,260.78216552734375,220.5978546142578,161.12237548828125,381.7202453613281,0.009805937,306639.59375,747.8294067382812,437.4380798339844,162.5867462158203,600.0247802734375,311799.6875,382905.15625,373656000.0
17,300.03118896484375,228.86782836914062,156.4159698486328,385.2837829589844,0.009794579,306562.03125,199.69775390625,235.19949340820312,163.5204315185547,398.719970703125,312371.9375,1794.6741943359375,1729826048.0
18,250.56817626953125,234.8398895263672,164.05982971191406,398.89971923828125,0.0097832335,306772.59375,282.12908935546875,232.17796325683594,163.34010314941406,395.5180358886719,311809.1875,3640.29296875,45108064.0
19,256.78167724609375,231.89808654785156,161.67098999023438,393.5690612792969,0.009771902,306470.34375,265.740966796875,230.66758728027344,163.3264617919922,393.9940490722656,311749.5625,5627.92138671875,30346130.0
20,261.36407470703125,230.65255737304688,163.6282196044922,394.28082275390625,0.009760584,306974.6875,268.1489562988281,230.70510864257812,163.4912872314453,394.1964111328125,312263.78125,2820.972412109375,2192575488.0
21,259.0291748046875,227.7469024658203,162.0312957763672,389.7781982421875,0.0097492775,306563.25,235.787109375,231.11846923828125,163.35643005371094,394.4748840332031,311869.625,2252.447021484375,2321113856.0
22,253.91995239257812,225.9736785888672,162.48065185546875,388.4543151855469,0.009737985,306703.3125,244.63844299316406,228.7567901611328,163.29588317871094,392.05267333984375,311780.5625,2390.447021484375,14199647.0
23,272.4401550292969,232.6072998046875,159.7952117919922,392.40252685546875,0.009726705,306470.8125,241.19093322753906,230.68939208984375,163.290771484375,393.9801330566406,311899.96875,3054.661376953125,1293735424.0
24,263.7664794921875,228.8388214111328,162.07696533203125,390.9158020019531,0.009715439,306836.3125,241.35421752929688,230.00836181640625,163.3774871826172,393.3858642578125,311931.8125,2295.9287109375,1915671936.0
25,252.70425415039062,221.30392456054688,160.71791076660156,382.0218200683594,0.009704186,306255.96875,226.01426696777344,229.86891174316406,163.88575744628906,393.7546691894531,311337.46875,315831.625,141329360.0
26,245.76864624023438,217.5523223876953,168.11453247070312,385.6669006347656,0.0096929455,307231.15625,2096437156380672.0,1126986667786240.0,478838161408.0,1127465422422016.0,931388784640.0,8.617758640513072e+27,29784256512.0
