epoch,balance_loss,edge_loss,fw_loss,loss,lr,p_loss,val_balance_loss,val_edge_loss,val_fw_loss,val_loss,val_p_loss,val_weymouth_loss,weymouth_loss
0,1954.9781494140625,10684.478515625,2657.513427734375,13341.9912109375,0.009984208,784375.375,inf,inf,inf,inf,inf,nan,8746778207715328.0
1,5593.74853515625,10935.9384765625,2493.463623046875,13429.4033203125,0.009967391,776449.6875,inf,inf,inf,inf,inf,nan,74977537687552.0
2,7973.50927734375,11292.5478515625,2518.8857421875,13811.4306640625,0.009950603,773551.25,inf,inf,inf,inf,inf,nan,1.0004053647949824e+16
3,2317.19091796875,10132.1953125,2455.36865234375,12587.564453125,0.009933842,772049.5,inf,inf,1.6214897637171304e+34,inf,1.9266780074561198e+34,nan,10468568596480.0
