epoch,balance_loss,edge_loss,fw_loss,loss,lr,p_loss,val_balance_loss,val_edge_loss,val_fw_loss,val_loss,val_p_loss,val_weymouth_loss,weymouth_loss
13,984.0904541015625,10699.83203125,2401.518798828125,2401.518798828125,0.009767784,761277.875,1066.0718994140625,10644.5712890625,2421.489501953125,2421.489501953125,760058.625,541944275009536.0,462843392557056.0
14,982.9044799804688,10699.4384765625,2395.7822265625,2395.7822265625,0.009751332,761326.6875,1051.8453369140625,10647.4072265625,2404.50390625,2404.50390625,760155.3125,774461859037184.0,647688383102976.0
15,985.2864990234375,10699.759765625,2388.899658203125,2388.899658203125,0.009734907,761277.75,1041.2777099609375,10649.376953125,2387.2333984375,2387.2333984375,760305.125,1252619024596992.0,961148920791040.0
16,986.4488525390625,10699.7109375,2377.7685546875,2377.7685546875,0.00971851,761174.6875,1059.323974609375,10650.5380859375,2399.136962890625,2399.136962890625,759482.0,4803925215543296.0,1509540075929600.0
17,992.3596801757812,10699.4150390625,2361.962890625,2361.962890625,0.009702141,760950.8125,1063.349609375,10650.3740234375,2361.38671875,2361.38671875,760018.25,7793236949073920.0,4677836250021888.0
18,1003.430908203125,10699.3603515625,2333.685791015625,2333.685791015625,0.0096857995,760780.5625,1108.248291015625,10647.865234375,2343.489501953125,2343.489501953125,759958.125,2.5514979071361024e+16,1.0619581517266944e+16
19,1039.0833740234375,10698.4443359375,2297.68701171875,2297.68701171875,0.009669485,760522.125,1146.9937744140625,10651.3642578125,2324.038330078125,2324.038330078125,760101.75,8.701226643567411e+16,1.8317056264896512e+17
20,1080.593017578125,10698.6728515625,2263.736572265625,2263.736572265625,0.0096531985,760992.5,1242.7545166015625,10654.5166015625,2368.28271484375,2368.28271484375,759624.8125,3.141955494000722e+17,2.6454344253571072e+17
21,1151.258544921875,10697.8349609375,2248.94482421875,2248.94482421875,0.009636939,761499.8125,1236.5191650390625,10659.294921875,2315.451416015625,2315.451416015625,763493.125,2.142032303709225e+17,1.5462581829873172e+18
22,1177.732421875,10698.712890625,2244.881591796875,2244.881591796875,0.009620707,760763.4375,1228.2239990234375,10662.87109375,2289.74853515625,2289.74853515625,760508.4375,5.876446409837773e+17,1.027610233108693e+18
23,1180.3614501953125,10698.4384765625,2209.560546875,2209.560546875,0.0096045025,761545.9375,1296.340087890625,10660.42578125,2267.46875,2267.46875,761788.4375,7.370765862552207e+17,6.800178426486456e+17
24,1230.7232666015625,10697.8408203125,2184.866455078125,2184.866455078125,0.009588324,760923.5625,1272.380859375,10666.392578125,2259.0390625,2259.0390625,761977.6875,7.989363473844797e+17,1.6134623952612884e+18
25,1237.933837890625,10698.0556640625,2164.705322265625,2164.705322265625,0.009572175,760885.3125,1363.417724609375,10666.4755859375,2297.776611328125,2297.776611328125,760039.375,1.7918170626208563e+18,9.436083693803274e+17
26,1303.8995361328125,10697.9462890625,2153.41357421875,2153.41357421875,0.009556052,760917.5625,1350.3087158203125,10669.0419921875,2287.08251953125,2287.08251953125,763146.3125,9.082547412202947e+17,1.778654259168936e+18
27,1262.6075439453125,10698.572265625,2148.557373046875,2148.557373046875,0.009539956,761135.5,1352.2891845703125,10668.3818359375,2280.950927734375,2280.950927734375,760597.0625,1.85314301085483e+18,5.136958182265979e+17
28,1299.2762451171875,10698.080078125,2119.0390625,2119.0390625,0.009523887,761364.875,1377.87158203125,10667.439453125,2243.117919921875,2243.117919921875,761575.5625,1.6023860525620265e+18,8.333079742219551e+17
29,1394.5230712890625,10697.4130859375,2121.624267578125,2121.624267578125,0.009507846,760895.0625,1482.4925537109375,10667.068359375,2344.788330078125,2344.788330078125,764739.25,7.833658883456369e+17,1.1515482833032315e+18
30,1333.1116943359375,10697.8671875,2165.311767578125,2165.311767578125,0.009491831,761686.4375,1242.8101806640625,10665.935546875,2201.736572265625,2201.736572265625,762940.8125,5.947498225614193e+17,6.364172588050022e+17
31,1315.78271484375,10696.69140625,2107.245849609375,2107.245849609375,0.009475844,761626.25,1311.043701171875,10664.9345703125,2184.032470703125,2184.032470703125,761189.0625,1.12759734663748e+18,9.492903018752901e+17
32,1311.6251220703125,10697.484375,2079.42333984375,2079.42333984375,0.009459883,761162.375,1321.6845703125,10668.9453125,2173.55712890625,2173.55712890625,760760.6875,1.4545205677627802e+18,1.084527414593192e+18
33,1381.2835693359375,10697.5361328125,2068.105224609375,2068.105224609375,0.00944395,760863.5625,1334.5179443359375,10670.0341796875,2175.3173828125,2175.3173828125,760747.375,1.5104787002299515e+18,1.3223580331535237e+18
34,1383.380615234375,10698.0537109375,2051.938232421875,2051.938232421875,0.009428043,760917.8125,1313.977294921875,10669.9541015625,2152.507568359375,2152.507568359375,761213.375,1.2569592189723607e+18,1.0180838582072115e+18
35,1420.2177734375,10697.5546875,2041.5836181640625,2041.5836181640625,0.009412163,761072.0625,1351.7906494140625,10668.72265625,2139.1552734375,2139.1552734375,761019.0,1.5370020817878385e+18,1.2223504412206694e+18
36,1376.568603515625,10697.8505859375,2032.9591064453125,2032.9591064453125,0.009396309,761038.9375,1391.88427734375,10669.44921875,2135.051025390625,2135.051025390625,762092.4375,1.2648205896720056e+18,9.711703771096023e+17
37,1423.28369140625,10697.87109375,2039.641357421875,2039.641357421875,0.009380483,761280.375,1318.0001220703125,10668.2890625,2113.4013671875,2113.4013671875,761179.875,1.1374090448063693e+18,1.369525020400812e+18
38,1431.7598876953125,10698.2509765625,2018.0643310546875,2018.0643310546875,0.009364683,761000.6875,1368.5250244140625,10667.8212890625,2093.09326171875,2093.09326171875,761308.3125,1.3113376281083249e+18,1.1280816127900385e+18
39,1440.544921875,10698.9453125,2011.0994873046875,2011.0994873046875,0.009348909,761132.8125,1362.5235595703125,10668.59765625,2083.21923828125,2083.21923828125,761165.5,1.3367532517012275e+18,1.171465867720917e+18
40,1434.540771484375,10698.4052734375,2003.35546875,2003.35546875,0.009333163,760888.3125,1442.1280517578125,10667.759765625,2110.360107421875,2110.360107421875,759963.75,2.0519767694764933e+18,1.0852923310887404e+18
41,1468.1910400390625,10698.9501953125,1992.387451171875,1992.387451171875,0.009317442,761188.5625,1341.3912353515625,10667.8173828125,2069.431396484375,2069.431396484375,760769.75,1.1963028733197025e+18,1.3070018414431437e+18
42,1468.7313232421875,10698.8896484375,1983.465576171875,1983.465576171875,0.009301748,761100.0,1395.497314453125,10669.2158203125,2069.129150390625,2069.129150390625,761813.0,1.344894035793281e+18,1.3080810121058058e+18
43,1477.75439453125,10699.8212890625,1980.6678466796875,1980.6678466796875,0.009286081,760863.9375,1342.770263671875,10669.9150390625,2054.61962890625,2054.61962890625,761840.8125,1.0113850836149862e+18,1.4588885151430738e+18
44,1464.1673583984375,10698.8212890625,1972.0513916015625,1972.0513916015625,0.00927044,761182.25,1504.6895751953125,10668.59765625,2167.19970703125,2167.19970703125,758621.9375,1.9753039753809756e+18,1.1401642835066225e+18
45,1485.70849609375,10699.875,1957.28271484375,1957.28271484375,0.009254825,760880.0,1490.59033203125,10668.96875,2066.308837890625,2066.308837890625,759538.8125,2.1333497009028465e+18,1.087267328850133e+18
46,1540.414794921875,10699.529296875,1941.5736083984375,1941.5736083984375,0.009239237,760707.125,1474.5982666015625,10669.740234375,2047.4036865234375,2047.4036865234375,760637.5625,1.981943651223208e+18,1.356468044943065e+18
47,1467.92626953125,10698.9150390625,1940.4771728515625,1940.4771728515625,0.009223675,761173.9375,1502.7320556640625,10668.9609375,2059.091552734375,2059.091552734375,759941.6875,2.024230043793752e+18,1.0788530412406702e+18
48,1597.7178955078125,10699.6650390625,1920.06201171875,1920.06201171875,0.009208139,760623.0625,1435.8306884765625,10669.380859375,2033.1507568359375,2033.1507568359375,760901.625,1.475326213978325e+18,1.626714946349826e+18
49,1489.0899658203125,10699.1728515625,1910.1019287109375,1910.1019287109375,0.009192629,761135.625,1569.5518798828125,10669.2744140625,2056.371337890625,2056.371337890625,760868.4375,2.404351554481029e+18,1.0147093883020902e+18
50,1588.9765625,10698.998046875,1906.082763671875,1906.082763671875,0.009177146,760734.0,1477.1204833984375,10669.455078125,2068.2705078125,2068.2705078125,760608.5,1.599907341036159e+18,1.4787623252540785e+18
51,1552.6427001953125,10699.0673828125,1889.1632080078125,1889.1632080078125,0.009161687,760750.25,1510.6495361328125,10670.0458984375,2021.6556396484375,2021.6556396484375,761335.0625,1.5419662393482936e+18,1.3788869495944643e+18
52,1551.2047119140625,10692.7431640625,1867.7655029296875,1867.7655029296875,0.009146257,761533.3125,1298.968505859375,10670.921875,2064.56787109375,2064.56787109375,761374.1875,5.052483391098716e+17,1.4265675462108774e+18
53,1675.4356689453125,10691.4765625,1827.7843017578125,1827.7843017578125,0.009130851,760178.0,1253.1983642578125,10673.9619140625,1998.91748046875,1998.91748046875,762543.875,4.185836300177244e+17,1.6615992892032287e+18
54,1519.5863037109375,10690.8515625,1815.3773193359375,1815.3773193359375,0.0091154715,761046.3125,1256.3441162109375,10674.05859375,1971.8988037109375,1971.8988037109375,762533.5,4.675374610991022e+17,1.159930616356012e+18
55,1672.3863525390625,10690.82421875,1789.04296875,1789.04296875,0.009100118,761030.4375,1196.7196044921875,10675.0322265625,1994.955810546875,1994.955810546875,763083.75,3.047110590196613e+17,1.580432653646037e+18
56,1655.8929443359375,10690.5859375,1770.919189453125,1770.919189453125,0.00908479,760966.3125,1225.69140625,10674.8486328125,1974.0565185546875,1974.0565185546875,763459.375,3.515667813970739e+17,1.6829902879216108e+18
57,1634.0965576171875,10690.3017578125,1755.0662841796875,1755.0662841796875,0.009069488,760690.375,1249.9599609375,10675.517578125,1945.8753662109375,1945.8753662109375,762731.6875,4.37853052330836e+17,1.822795802733445e+18
58,1706.89501953125,10690.9208984375,1734.3226318359375,1734.3226318359375,0.009054213,760868.5,1237.6414794921875,10674.97265625,1936.716796875,1936.716796875,763012.75,3.980175055383429e+17,1.7594828995491267e+18
59,1767.0147705078125,10690.708984375,1726.76708984375,1726.76708984375,0.0090389615,760482.125,1242.826904296875,10675.1533203125,1941.3907470703125,1941.3907470703125,764360.5625,3.501799536370647e+17,1.9921122096347873e+18
60,1726.265380859375,10690.5693359375,1701.769287109375,1701.769287109375,0.009023737,761134.5625,1261.45263671875,10674.724609375,1904.3961181640625,1904.3961181640625,763437.0625,4.083509906940887e+17,1.6151111129471386e+18
61,1722.1832275390625,10690.6748046875,1680.02734375,1680.02734375,0.009008538,760789.8125,1271.581298828125,10676.0087890625,1889.634765625,1889.634765625,763410.8125,4.9520206700714394e+17,1.9699105959688274e+18
62,1821.1790771484375,10689.798828125,1644.403076171875,1644.403076171875,0.008993364,760383.4375,1252.176025390625,10674.951171875,1882.914306640625,1882.914306640625,763936.1875,4.033894788334879e+17,2.0205318364337275e+18
63,1819.9521484375,10688.369140625,1628.6845703125,1628.6845703125,0.008978217,760952.4375,1258.73046875,10674.6787109375,1863.12109375,1863.12109375,763955.125,3.9916068839358464e+17,2.2578915204199875e+18
64,1847.3482666015625,10686.6240234375,1595.819580078125,1595.819580078125,0.008963094,760514.9375,1284.372802734375,10674.1962890625,1832.113525390625,1832.113525390625,763611.0625,4.6677903859410534e+17,2.8314213870406205e+18
65,1780.4410400390625,10687.296875,1657.4193115234375,1657.4193115234375,0.008947997,761217.8125,3012.72216796875,10658.8076171875,3733.594482421875,3733.594482421875,763922.5625,1.4228158750979523e+18,2.915963385856131e+18
66,1822.0118408203125,10686.642578125,1665.203369140625,1665.203369140625,0.008932925,760499.375,1261.490478515625,10671.5537109375,1866.489990234375,1866.489990234375,761566.0625,3.152152777153577e+17,4.2536405022025974e+18
67,1633.5882568359375,10684.568359375,1641.265625,1641.265625,0.008917879,760204.0,1303.907470703125,10674.7666015625,1796.0701904296875,1796.0701904296875,763202.0625,4.215349597448438e+17,2.824606339093758e+18
68,1866.638916015625,10683.2763671875,1541.5250244140625,1541.5250244140625,0.008902858,760449.25,1296.4403076171875,10673.7451171875,1774.4625244140625,1774.4625244140625,763266.75,3.4475654381358285e+17,3.5092222019308093e+18
69,1994.3514404296875,10682.712890625,1476.831787109375,1476.831787109375,0.008887863,760610.625,1142.7161865234375,10673.5185546875,1875.048583984375,1875.048583984375,764321.375,7.765324063991398e+16,3.9463844517217567e+18
70,1908.4061279296875,10682.591796875,1408.718505859375,1408.718505859375,0.008872893,760461.6875,1352.709228515625,10671.3115234375,1672.094970703125,1672.094970703125,763074.625,3.817615697190584e+17,2.395201418714677e+18
71,2055.656982421875,10682.2578125,1319.17529296875,1319.17529296875,0.008857948,759545.4375,1411.113525390625,10667.666015625,1585.06591796875,1585.06591796875,763747.3125,3.896269605080924e+17,3.241939721311486e+18
72,2214.93798828125,10681.0419921875,1273.3515625,1273.3515625,0.008843028,760383.0625,1248.8826904296875,10664.080078125,1687.6331787109375,1687.6331787109375,764461.375,1.3677015834453606e+17,3.517706583406543e+18
73,2264.82861328125,10682.271484375,1252.3116455078125,1252.3116455078125,0.008828133,759926.875,1611.7552490234375,10656.2705078125,1421.522705078125,1421.522705078125,760436.25,6.115346921931407e+17,3.005206896392012e+18
74,2038.0478515625,10679.8525390625,1237.9619140625,1237.9619140625,0.008813264,761793.0,2040.68408203125,10651.1396484375,1314.6217041015625,1314.6217041015625,759495.0625,1.4873616056949146e+18,2.0999551963050803e+18
75,2337.7392578125,10680.1982421875,1036.4833984375,1036.4833984375,0.008798419,759883.625,2281.452880859375,10655.064453125,1181.7757568359375,1181.7757568359375,756879.3125,2.4093378397129933e+18,1.8429799500013896e+18
76,2600.33056640625,10681.341796875,874.5831298828125,874.5831298828125,0.008783599,760530.8125,3060.38037109375,10653.3837890625,1048.6163330078125,1048.6163330078125,754925.1875,3.793281305844646e+18,1.3991638681560023e+18
77,2661.46630859375,10681.134765625,797.27001953125,797.27001953125,0.008768804,760189.5625,3887.88671875,10652.447265625,1187.3489990234375,1187.3489990234375,753341.125,7.624852004614963e+18,1.2074997499811594e+18
78,2745.806396484375,10678.8359375,807.7001953125,807.7001953125,0.0087540345,758996.0,2588.286376953125,10647.4990234375,838.06640625,838.06640625,758368.8125,1.3901515836599828e+18,1.4571872957769974e+18
79,2717.37939453125,10679.669921875,770.1865844726562,770.1865844726562,0.00873929,760674.375,3535.560791015625,10647.66796875,1089.675048828125,1089.675048828125,753194.6875,7.119399912256569e+18,1.4981799754785096e+18
80,2803.827880859375,10676.32421875,606.7623901367188,606.7623901367188,0.00872457,759888.0,4265.91552734375,10644.685546875,1022.483642578125,1022.483642578125,755160.75,5.896795208971977e+18,9.905121610317169e+17
81,3008.534912109375,10674.0712890625,557.8574829101562,557.8574829101562,0.008709875,760516.375,5137.57177734375,10645.6103515625,1484.540771484375,1484.540771484375,751560.8125,1.5891034848060506e+19,9.584741789047194e+17
82,2802.255126953125,10671.7783203125,612.72021484375,612.72021484375,0.008695204,760078.9375,4427.20947265625,10644.1279296875,1085.2239990234375,1085.2239990234375,753013.625,6.541881429767225e+18,1.1389103592146207e+18
